# Mini-Circuits,Lab.
# Model:ZVA-183+
# Mini-Circuits,Lab.,Run:,EXPRM,,Date,Code:,1030;
# Fixture:,N/R;,Vcc=+12V,,Icc=330mA;
# Connection:,Port,1,to,Input,,Port,2,to,Output;
# Mini-Circuits,Lab.,Tested,with,PNA-X,Network,Analyzer,AG,N5242A,,S/N,71404,,Cal.Due.:,05/26/2011.
DG(dB)=0
freq(Hz)	gain(dB)	phase(rad)	directivity(dB)	vsvr(:1)	nf(dB)	op1db(dBm)	freq_1(Hz)	oip3(dBm)	freq_2(Hz)
1000000000.0	27.64332	-1.2096281888297769	49.6	1.4	1.53	4.66	1000000000.0	37.33	1000000000.0
1020000000.0	27.66968	-1.2623250894681668	49.5968	1.3974	1.5250000000000001	4.6450000000000005	1020000000.0	37.3206	1020000000.0
1040000000.0	27.69545	-1.3143814542710748	49.5936	1.3947999999999998	1.52	4.63	1040000000.0	37.3112	1040000000.0
1060000000.0	27.71878	-1.3660723471286154	49.5904	1.3921999999999999	1.5150000000000001	4.615	1060000000.0	37.3018	1060000000.0
1080000000.0	27.74376	-1.417315213967169	49.5872	1.3896	1.51	4.6000000000000005	1080000000.0	37.2924	1080000000.0
1100000000.0	27.76434	-1.4681475793656533	49.584	1.387	1.5050000000000001	4.585	1100000000.0	37.283	1100000000.0
1120000000.0	27.78388	-1.5185057388063707	49.5808	1.3843999999999999	1.5	4.57	1120000000.0	37.2736	1120000000.0
1140000000.0	27.80591	-1.5686118727031007	49.577600000000004	1.3818	1.495	4.555	1140000000.0	37.264199999999995	1140000000.0
1160000000.0	27.82398	-1.6181930115608303	49.574400000000004	1.3792	1.49	4.54	1160000000.0	37.254799999999996	1160000000.0
1180000000.0	27.84284	-1.6673109400350807	49.5712	1.3765999999999998	1.485	4.525	1180000000.0	37.2454	1180000000.0
1200000000.0	27.86237	-1.7163190872993805	49.568	1.3739999999999999	1.48	4.51	1200000000.0	37.236	1200000000.0
1220000000.0	27.87966	-1.7650008579935577	49.5648	1.3714	1.475	4.495	1220000000.0	37.2266	1220000000.0
1240000000.0	27.89616	-1.8135943150275837	49.5616	1.3688	1.47	4.48	1240000000.0	37.2172	1240000000.0
1260000000.0	27.9156	-1.8615751614941598	49.5584	1.3661999999999999	1.465	4.465	1260000000.0	37.2078	1260000000.0
1280000000.0	27.93005	-1.9094285989253403	49.5552	1.3636	1.46	4.45	1280000000.0	37.1984	1280000000.0
1300000000.0	27.94652	-1.9570830688217935	49.552	1.361	1.455	4.4350000000000005	1300000000.0	37.189	1300000000.0
1320000000.0	27.96234	-2.0041982319793803	49.5488	1.3584	1.45	4.42	1320000000.0	37.1796	1320000000.0
1340000000.0	27.97712	-2.051507126683939	49.5456	1.3558	1.445	4.405	1340000000.0	37.1702	1340000000.0
1360000000.0	27.99355	-2.0984425209285704	49.5424	1.3532	1.44	4.390000000000001	1360000000.0	37.1608	1360000000.0
1380000000.0	28.00864	-2.145018377347291	49.5392	1.3506	1.435	4.375	1380000000.0	37.151399999999995	1380000000.0
1400000000.0	28.01933	-2.1916134323877836	49.536	1.3479999999999999	1.43	4.36	1400000000.0	37.141999999999996	1400000000.0
1420000000.0	28.03389	-2.2378978188214216	49.5328	1.3454	1.425	4.345	1420000000.0	37.1326	1420000000.0
1440000000.0	28.04573	-2.2843288129122263	49.5296	1.3428	1.42	4.33	1440000000.0	37.1232	1440000000.0
1460000000.0	28.05802	-2.3301262524845576	49.5264	1.3402	1.415	4.315	1460000000.0	37.1138	1460000000.0
1480000000.0	28.07113	-2.376016194507245	49.5232	1.3376	1.41	4.3	1480000000.0	37.1044	1480000000.0
1500000000.0	28.08271	-2.421461077570673	49.519999999999996	1.335	1.405	4.285	1500000000.0	37.095	1500000000.0
1520000000.0	28.09687	-2.4670770029007967	49.516799999999996	1.3324	1.4	4.2700000000000005	1520000000.0	37.0856	1520000000.0
1540000000.0	28.10523	-2.5123787689655614	49.5136	1.3297999999999999	1.395	4.255	1540000000.0	37.0762	1540000000.0
1560000000.0	28.11732	-2.557537418031663	49.5104	1.3272	1.3900000000000001	4.24	1560000000.0	37.0668	1560000000.0
1580000000.0	28.12909	-2.6027397003290638	49.5072	1.3246	1.385	4.2250000000000005	1580000000.0	37.0574	1580000000.0
1600000000.0	28.14083	-2.6477622137135097	49.504	1.322	1.38	4.21	1600000000.0	37.048	1600000000.0
